iloc,x,y,z,t
0,1.0,0.0,0,1800
0,1.0,0.0,0,3600
0,1.0,0.0,0,5400
0,1.0,0.0,0,7200
0,1.0,0.0,0,9000
0,1.0,0.0,0,10800
1,1.0,145.0772086854287,0,1800
1,1.0,145.0772086854287,0,3600
1,1.0,145.0772086854287,0,5400
1,1.0,145.0772086854287,0,7200
1,1.0,145.0772086854287,0,9000
1,1.0,145.0772086854287,0,10800
2,1.0,290.1544173708574,0,1800
2,1.0,290.1544173708574,0,3600
2,1.0,290.1544173708574,0,5400
2,1.0,290.1544173708574,0,7200
2,1.0,290.1544173708574,0,9000
2,1.0,290.1544173708574,0,10800
3,1.0,435.23162605628613,0,1800
3,1.0,435.23162605628613,0,3600
3,1.0,435.23162605628613,0,5400
3,1.0,435.23162605628613,0,7200
3,1.0,435.23162605628613,0,9000
3,1.0,435.23162605628613,0,10800
4,1.0,580.3088347417148,0,1800
4,1.0,580.3088347417148,0,3600
4,1.0,580.3088347417148,0,5400
4,1.0,580.3088347417148,0,7200
4,1.0,580.3088347417148,0,9000
4,1.0,580.3088347417148,0,10800
5,1.0,725.3860434271435,0,1800
5,1.0,725.3860434271435,0,3600
5,1.0,725.3860434271435,0,5400
5,1.0,725.3860434271435,0,7200
5,1.0,725.3860434271435,0,9000
5,1.0,725.3860434271435,0,10800
6,1.0,870.4632521125723,0,1800
6,1.0,870.4632521125723,0,3600
6,1.0,870.4632521125723,0,5400
6,1.0,870.4632521125723,0,7200
6,1.0,870.4632521125723,0,9000
6,1.0,870.4632521125723,0,10800
7,1.2589254117941673,0.0,0,1800
7,1.2589254117941673,0.0,0,3600
7,1.2589254117941673,0.0,0,5400
7,1.2589254117941673,0.0,0,7200
7,1.2589254117941673,0.0,0,9000
7,1.2589254117941673,0.0,0,10800
8,1.2589254117941673,145.09717567390686,0,1800
8,1.2589254117941673,145.09717567390686,0,3600
8,1.2589254117941673,145.09717567390686,0,5400
8,1.2589254117941673,145.09717567390686,0,7200
8,1.2589254117941673,145.09717567390686,0,9000
8,1.2589254117941673,145.09717567390686,0,10800
9,1.2589254117941673,290.1943513478137,0,1800
9,1.2589254117941673,290.1943513478137,0,3600
9,1.2589254117941673,290.1943513478137,0,5400
9,1.2589254117941673,290.1943513478137,0,7200
9,1.2589254117941673,290.1943513478137,0,9000
9,1.2589254117941673,290.1943513478137,0,10800
10,1.2589254117941673,435.2915270217206,0,1800
10,1.2589254117941673,435.2915270217206,0,3600
10,1.2589254117941673,435.2915270217206,0,5400
10,1.2589254117941673,435.2915270217206,0,7200
10,1.2589254117941673,435.2915270217206,0,9000
10,1.2589254117941673,435.2915270217206,0,10800
11,1.2589254117941673,580.3887026956274,0,1800
11,1.2589254117941673,580.3887026956274,0,3600
11,1.2589254117941673,580.3887026956274,0,5400
11,1.2589254117941673,580.3887026956274,0,7200
11,1.2589254117941673,580.3887026956274,0,9000
