iloc,x,y,z,t
0,1.0,0.0,0,1800
0,1.0,0.0,0,3600
0,1.0,0.0,0,5400
0,1.0,0.0,0,7200
0,1.0,0.0,0,9000
0,1.0,0.0,0,10800
1,1.0,0.41325210164728093,0,1800
1,1.0,0.41325210164728093,0,3600
1,1.0,0.41325210164728093,0,5400
1,1.0,0.41325210164728093,0,7200
1,1.0,0.41325210164728093,0,9000
1,1.0,0.41325210164728093,0,10800
2,1.0,0.8265042032945619,0,1800
2,1.0,0.8265042032945619,0,3600
2,1.0,0.8265042032945619,0,5400
2,1.0,0.8265042032945619,0,7200
2,1.0,0.8265042032945619,0,9000
2,1.0,0.8265042032945619,0,10800
3,1.0,1.2397563049418427,0,1800
3,1.0,1.2397563049418427,0,3600
3,1.0,1.2397563049418427,0,5400
3,1.0,1.2397563049418427,0,7200
3,1.0,1.2397563049418427,0,9000
3,1.0,1.2397563049418427,0,10800
4,1.0,1.6530084065891237,0,1800
4,1.0,1.6530084065891237,0,3600
4,1.0,1.6530084065891237,0,5400
4,1.0,1.6530084065891237,0,7200
4,1.0,1.6530084065891237,0,9000
4,1.0,1.6530084065891237,0,10800
5,1.0,2.0662605082364047,0,1800
5,1.0,2.0662605082364047,0,3600
5,1.0,2.0662605082364047,0,5400
5,1.0,2.0662605082364047,0,7200
5,1.0,2.0662605082364047,0,9000
5,1.0,2.0662605082364047,0,10800
6,1.0,2.4795126098836855,0,1800
6,1.0,2.4795126098836855,0,3600
6,1.0,2.4795126098836855,0,5400
6,1.0,2.4795126098836855,0,7200
6,1.0,2.4795126098836855,0,9000
6,1.0,2.4795126098836855,0,10800
7,1.2589254117941673,0.0,0,1800
7,1.2589254117941673,0.0,0,3600
7,1.2589254117941673,0.0,0,5400
7,1.2589254117941673,0.0,0,7200
7,1.2589254117941673,0.0,0,9000
7,1.2589254117941673,0.0,0,10800
8,1.2589254117941673,0.5167270609569471,0,1800
8,1.2589254117941673,0.5167270609569471,0,3600
8,1.2589254117941673,0.5167270609569471,0,5400
8,1.2589254117941673,0.5167270609569471,0,7200
8,1.2589254117941673,0.5167270609569471,0,9000
8,1.2589254117941673,0.5167270609569471,0,10800
9,1.2589254117941673,1.0334541219138942,0,1800
9,1.2589254117941673,1.0334541219138942,0,3600
9,1.2589254117941673,1.0334541219138942,0,5400
9,1.2589254117941673,1.0334541219138942,0,7200
9,1.2589254117941673,1.0334541219138942,0,9000
9,1.2589254117941673,1.0334541219138942,0,10800
10,1.2589254117941673,1.5501811828708414,0,1800
10,1.2589254117941673,1.5501811828708414,0,3600
10,1.2589254117941673,1.5501811828708414,0,5400
10,1.2589254117941673,1.5501811828708414,0,7200
10,1.2589254117941673,1.5501811828708414,0,9000
10,1.2589254117941673,1.5501811828708414,0,10800
11,1.2589254117941673,2.0669082438277884,0,1800
11,1.2589254117941673,2.0669082438277884,0,3600
11,1.2589254117941673,2.0669082438277884,0,5400
