iloc,x,y,z,t
0,1.0,0.0,0,1800
0,1.0,0.0,0,3600
0,1.0,0.0,0,5400
0,1.0,0.0,0,7200
0,1.0,0.0,0,9000
0,1.0,0.0,0,10800
1,1.0,0.36126292639471796,0,1800
1,1.0,0.36126292639471796,0,3600
1,1.0,0.36126292639471796,0,5400
1,1.0,0.36126292639471796,0,7200
1,1.0,0.36126292639471796,0,9000
1,1.0,0.36126292639471796,0,10800
2,1.0,0.7225258527894359,0,1800
2,1.0,0.7225258527894359,0,3600
2,1.0,0.7225258527894359,0,5400
2,1.0,0.7225258527894359,0,7200
2,1.0,0.7225258527894359,0,9000
2,1.0,0.7225258527894359,0,10800
3,1.0,1.0837887791841538,0,1800
3,1.0,1.0837887791841538,0,3600
3,1.0,1.0837887791841538,0,5400
3,1.0,1.0837887791841538,0,7200
3,1.0,1.0837887791841538,0,9000
3,1.0,1.0837887791841538,0,10800
4,1.0,1.4450517055788719,0,1800
4,1.0,1.4450517055788719,0,3600
4,1.0,1.4450517055788719,0,5400
4,1.0,1.4450517055788719,0,7200
4,1.0,1.4450517055788719,0,9000
4,1.0,1.4450517055788719,0,10800
5,1.0,1.8063146319735899,0,1800
5,1.0,1.8063146319735899,0,3600
5,1.0,1.8063146319735899,0,5400
5,1.0,1.8063146319735899,0,7200
5,1.0,1.8063146319735899,0,9000
5,1.0,1.8063146319735899,0,10800
6,1.0,2.1675775583683077,0,1800
6,1.0,2.1675775583683077,0,3600
6,1.0,2.1675775583683077,0,5400
6,1.0,2.1675775583683077,0,7200
6,1.0,2.1675775583683077,0,9000
6,1.0,2.1675775583683077,0,10800
7,1.2589254117941673,0.0,0,1800
7,1.2589254117941673,0.0,0,3600
7,1.2589254117941673,0.0,0,5400
7,1.2589254117941673,0.0,0,7200
7,1.2589254117941673,0.0,0,9000
7,1.2589254117941673,0.0,0,10800
8,1.2589254117941673,0.45509108025475864,0,1800
8,1.2589254117941673,0.45509108025475864,0,3600
8,1.2589254117941673,0.45509108025475864,0,5400
8,1.2589254117941673,0.45509108025475864,0,7200
8,1.2589254117941673,0.45509108025475864,0,9000
8,1.2589254117941673,0.45509108025475864,0,10800
9,1.2589254117941673,0.9101821605095173,0,1800
9,1.2589254117941673,0.9101821605095173,0,3600
9,1.2589254117941673,0.9101821605095173,0,5400
9,1.2589254117941673,0.9101821605095173,0,7200
9,1.2589254117941673,0.9101821605095173,0,9000
9,1.2589254117941673,0.9101821605095173,0,10800
10,1.2589254117941673,1.3652732407642758,0,1800
10,1.2589254117941673,1.3652732407642758,0,3600
10,1.2589254117941673,1.3652732407642758,0,5400
10,1.2589254117941673,1.3652732407642758,0,7200
10,1.2589254117941673,1.3652732407642758,0,9000
10,1.2589254117941673,1.3652732407642758,0,10800
11,1.2589254117941673,1.8203643210190346,0,1800
11,1.2589254117941673,1.8203643210190346,0,3600
11,1.2589254117941673,1.8203643210190346,0,5400
