case,istab,wind,x,y,z,t,dur,sig_x,sig_y,sig_z,zfunc,yfunc,xfunc,qyz,cpeak,concentration,dinf,dose,
18,3,4.1,1,0,0,3600,4.2763e+06,0.7062,0.7062,0.0282117,28.2643,0.564914,6.92876e-310,1.59669e+08,4.93706537e+00,4.93706537e+00,2.11123866e+07,1.83950843e+04,
18,3,4.10000000e+00,1.00000000e+00,3.53100176e-01,0.00000000e+00,3.60000000e+03,4.27630283e+06,7.06200361e-01,7.06200361e-01,2.82117147e-02,2.82642690e+01,4.98534631e-01,6.92876397e-310,1.40907169e+08,4.35694490e+00,4.35694490e+00,1.86316158e+07,1.62336049e+04,
18,3,4.10000000e+00,1.00000000e+00,7.06200352e-01,0.00000000e+00,3.60000000e+03,4.27630283e+06,7.06200361e-01,7.06200361e-01,2.82117147e-02,2.82642690e+01,3.42637507e-01,6.92876397e-310,9.68439868e+07,2.99448152e+00,2.99448152e+00,1.28053098e+07,1.11571826e+04,
18,3,4.10000000e+00,1.00000000e+00,1.05930053e+00,0.00000000e+00,3.60000000e+03,4.27630283e+06,7.06200361e-01,7.06200361e-01,2.82117147e-02,2.82642690e+01,1.83400642e-01,6.92876397e-310,5.18368507e+07,1.60283045e+00,1.60283045e+00,6.85418840e+06,5.97200949e+03,
18,3,4.10000000e+00,1.00000000e+00,1.41240070e+00,0.00000000e+00,3.60000000e+03,4.27630283e+06,7.06200361e-01,7.06200361e-01,2.82117147e-02,2.82642690e+01,7.64527619e-02,6.92876397e-310,2.16088143e+07,6.68159140e-01,6.68159140e-01,2.85725082e+06,2.48950394e+03,
18,3,4.10000000e+00,1.00000000e+00,1.76550088e+00,0.00000000e+00,3.60000000e+03,4.27630283e+06,7.06200361e-01,7.06200361e-01,2.82117147e-02,2.82642690e+01,2.48205778e-02,6.92876397e-310,7.01535487e+06,2.16919513e-01,2.16919513e-01,9.27613529e+05,8.08223596e+02,
18,3,4.10000000e+00,1.00000000e+00,2.11860106e+00,0.00000000e+00,3.60000000e+03,4.27630283e+06,7.06200361e-01,7.06200361e-01,2.82117147e-02,2.82642690e+01,6.27562485e-03,6.92876397e-310,1.77375949e+06,5.48458421e-02,5.48458421e-02,2.34537430e+05,2.04350927e+02,
18,3,4.10000000e+00,2.15443469e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,4.27630283e+06,1.59761596e+00,1.59761596e+00,7.54595548e-02,1.05727434e+01,2.49711008e-01,6.92876397e-310,2.64013041e+07,8.07169275e-01,8.07169275e-01,3.45170025e+06,3.02205087e+03,
18,3,4.10000000e+00,2.15443469e+00,7.98808036e-01,0.00000000e+00,3.60000000e+03,4.27630283e+06,1.59761596e+00,1.59761596e+00,7.54595548e-02,1.05727434e+01,2.20369185e-01,6.92876397e-310,2.32990684e+07,7.12324364e-01,7.12324364e-01,3.04611469e+06,2.66695045e+03,
18,3,4.10000000e+00,2.15443469e+00,1.59761607e+00,0.00000000e+00,3.60000000e+03,4.27630283e+06,1.59761596e+00,1.59761596e+00,7.54595548e-02,1.05727434e+01,1.51457365e-01,6.92876397e-310,1.60131985e+07,4.89572854e-01,4.89572854e-01,2.09356178e+06,1.83296629e+03,
