id,case,istab,wind,x,y,z,t,dur,sig_x,sig_y,sig_z,zfunc,yfunc,xfunc,qyz,cpeak,concentration,dinf,dose,
11,12,3,0.8,1,0,0,3600,25618.8,1.52842,1.52842,0.121272,6.57909,0.261016,6.22398e-310,1.71725e+07,3.66466173e+02,3.66466173e+02,9.38843084e+06,1.50620942e+06,
11,12,3,8.00000000e-01,1.00000000e+00,5.98852033e-01,0.00000000e+00,3.60000000e+03,2.56188198e+04,1.52842057e+00,1.52842057e+00,1.21271774e-01,6.57908618e+00,2.41730615e-01,6.22397956e-310,1.59036655e+07,3.39389456e+02,3.39389456e+02,8.69475730e+06,1.39492164e+06,
11,12,3,8.00000000e-01,1.00000000e+00,1.19770407e+00,0.00000000e+00,3.60000000e+03,2.56188198e+04,1.52842057e+00,1.52842057e+00,1.21271774e-01,6.57908618e+00,1.92010516e-01,6.22397956e-310,1.26325373e+07,2.69582504e+02,2.69582504e+02,6.90638558e+06,1.10800870e+06,
11,12,3,8.00000000e-01,1.00000000e+00,1.79655610e+00,0.00000000e+00,3.60000000e+03,2.56188198e+04,1.52842057e+00,1.52842057e+00,1.21271774e-01,6.57908618e+00,1.30811907e-01,6.22397956e-310,8.60622808e+06,1.83659740e+02,1.83659740e+02,4.70514577e+06,7.54858293e+05,
11,12,3,8.00000000e-01,1.00000000e+00,2.39540813e+00,0.00000000e+00,3.60000000e+03,2.56188198e+04,1.52842057e+00,1.52842057e+00,1.21271774e-01,6.57908618e+00,7.64360864e-02,6.22397956e-310,5.02879600e+06,1.07316162e+02,1.07316162e+02,2.74931340e+06,4.41079219e+05,
11,12,3,8.00000000e-01,1.00000000e+00,2.99426016e+00,0.00000000e+00,3.60000000e+03,2.56188198e+04,1.52842057e+00,1.52842057e+00,1.21271774e-01,6.57908618e+00,3.83070239e-02,6.22397956e-310,2.52025211e+06,5.37830096e+01,5.37830096e+01,1.37785723e+06,2.21053078e+05,
11,12,3,8.00000000e-01,1.00000000e+00,3.59311220e+00,0.00000000e+00,3.60000000e+03,2.56188198e+04,1.52842057e+00,1.52842057e+00,1.21271774e-01,6.57908618e+00,1.64659765e-02,6.22397956e-310,1.08331078e+06,2.31182086e+01,2.31182086e+01,5.92261220e+05,9.50179474e+04,
11,12,3,8.00000000e-01,2.15443469e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,2.56188198e+04,2.51111555e+00,2.51111555e+00,1.44940481e-01,5.50478087e+00,1.58870543e-01,6.22397956e-310,8.74547528e+06,2.01945588e+02,2.01945588e+02,5.17360763e+06,7.99282185e+05,
11,12,3,8.00000000e-01,2.15443469e+00,1.11092163e+00,0.00000000e+00,3.60000000e+03,2.56188198e+04,2.51111555e+00,2.51111555e+00,1.44940481e-01,5.50478087e+00,1.44060027e-01,6.22397956e-310,7.93018882e+06,1.83119453e+02,1.83119453e+02,4.69130426e+06,7.24770061e+05,
11,12,3,8.00000000e-01,2.15443469e+00,2.22184325e+00,0.00000000e+00,3.60000000e+03,2.56188198e+04,2.51111555e+00,2.51111555e+00,1.44940481e-01,5.50478087e+00,1.07409780e-01,6.22397956e-310,5.91267304e+06,1.36532115e+02,1.36532115e+02,3.49779164e+06,5.40381635e+05,
11,12,3,8.00000000e-01,2.15443469e+00,3.33276488e+00,0.00000000e+00,3.60000000e+03,2.56188198e+04,2.51111555e+00,2.51111555e+00,1.44940481e-01,5.50478087e+00,6.58482727e-02,6.22397956e-310,3.62480312e+06,8.37019116e+01,8.37019116e+01,2.14434419e+06,3.31284518e+05,
11,12,3,8.00000000e-01,2.15443469e+00,4.44368651e+00,0.00000000e+00,3.60000000e+03,2.56188198e+04,2.51111555e+00,2.51111555e+00,1.44940481e-01,5.50478087e+00,3.31928979e-02,6.22397956e-310,1.82719630e+06,4.21925875e+01,4.21925875e+01,1.08092430e+06,1.66994406e+05,
11,12,3,8.00000000e-01,2.15443469e+00,5.55460813e+00,0.00000000e+00,3.60000000e+03,2.56188198e+04,2.51111555e+00,2.51111555e+00,1.44940481e-01,5.50478087e+00,1.37577108e-02,6.22397956e-310,7.57331835e+05,1.74878801e+01,1.74878801e+01,4.48018848e+05,6.92154314e+04,
11,12,3,8.00000000e-01,2.15443469e+00,6.66552976e+00,0.00000000e+00,3.60000000e+03,2.56188198e+04,2.51111555e+00,2.51111555e+00,1.44940481e-01,5.50478087e+00,4.68864561e-03,6.22397956e-310,2.58099667e+05,5.95989210e+00,5.95989210e+00,1.52685402e+05,2.35887083e+04,
11,12,3,8.00000000e-01,4.64158883e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,2.56188198e+04,5.01672316e+00,5.01672316e+00,1.93568647e-01,4.12191706e+00,7.95224850e-02,6.22397956e-310,3.27785087e+06,7.73867684e+01,7.73867684e+01,1.98255767e+06,3.02981296e+05,
11,12,3,8.00000000e-01,4.64158883e+00,2.31274101e+00,0.00000000e+00,3.60000000e+03,2.56188198e+04,5.01672316e+00,5.01672316e+00,1.93568647e-01,4.12191706e+00,7.15056452e-02,6.22397956e-310,2.94740339e+06,6.95852351e+01,6.95852351e+01,1.78269160e+06,2.72437073e+05,
11,12,3,8.00000000e-01,4.64158883e+00,4.62548203e+00,0.00000000e+00,3.60000000e+03,2.56188198e+04,5.01672316e+00,5.01672316e+00,1.93568647e-01,4.12191706e+00,5.19866092e-02,6.22397956e-310,2.14284491e+06,5.05904171e+01,5.05904171e+01,1.29606678e+06,1.98069392e+05,
11,12,3,8.00000000e-01,4.64158883e+00,6.93822304e+00,0.00000000e+00,3.60000000e+03,2.56188198e+04,5.01672316e+00,5.01672316e+00,1.93568647e-01,4.12191706e+00,3.05593005e-02,6.22397956e-310,1.25962902e+06,2.97385766e+01,2.97385766e+01,7.61867235e+05,1.16431176e+05,
11,12,3,8.00000000e-01,4.64158883e+00,9.25096406e+00,0.00000000e+00,3.60000000e+03,2.56188198e+04,5.01672316e+00,5.01672316e+00,1.93568647e-01,4.12191706e+00,1.45243310e-02,6.22397956e-310,5.98680877e+05,1.41342545e+01,1.41342545e+01,3.62102918e+05,5.53378158e+04,
11,12,3,8.00000000e-01,4.64158883e+00,1.15637051e+01,0.00000000e+00,3.60000000e+03,2.56188198e+04,5.01672316e+00,5.01672316e+00,1.93568647e-01,4.12191706e+00,5.58148358e-03,6.22397956e-310,2.30064124e+05,5.43158300e+00,5.43158300e+00,1.39150746e+05,2.12654966e+04,
11,12,3,8.00000000e-01,4.64158883e+00,1.38764461e+01,0.00000000e+00,3.60000000e+03,2.56188198e+04,5.01672316e+00,5.01672316e+00,1.93568647e-01,4.12191706e+00,1.73421848e-03,6.22397956e-310,7.14830472e+04,1.68764298e+00,1.68764298e+00,4.32354214e+04,6.60738610e+03,
11,12,3,8.00000000e-01,1.00000000e+01,0.00000000e+00,0.00000000e+00,3.60000000e+03,2.56188198e+04,1.10112991e+01,1.10112991e+01,3.60163063e-01,2.21533397e+00,3.62302656e-02,6.22397956e-310,8.02621382e+05,1.88460561e+01,1.88460561e+01,4.82813715e+05,7.38693815e+04,
11,12,3,8.00000000e-01,1.00000000e+01,5.40319039e+00,0.00000000e+00,3.60000000e+03,2.56188198e+04,1.10112991e+01,1.10112991e+01,3.60163063e-01,2.21533397e+00,3.21208066e-02,6.22397956e-310,7.11583141e+05,1.67084208e+01,1.67084208e+01,4.28050021e+05,6.54906631e+04,
11,12,3,8.00000000e-01,1.00000000e+01,1.08063808e+01,0.00000000e+00,3.60000000e+03,2.56188198e+04,1.10112991e+01,1.10112991e+01,3.60163063e-01,2.21533397e+00,2.23836659e-02,6.22397956e-310,4.95872956e+05,1.16434097e+01,1.16434097e+01,2.98290414e+05,4.56377433e+04,
11,12,3,8.00000000e-01,1.00000000e+01,1.62095712e+01,0.00000000e+00,3.60000000e+03,2.56188198e+04,1.10112991e+01,1.10112991e+01,3.60163063e-01,2.21533397e+00,1.22604344e-02,6.22397956e-310,2.71609569e+05,6.37756392e+00,6.37756392e+00,1.63385661e+05,2.49976281e+04,
11,12,3,8.00000000e-01,1.00000000e+01,2.16127616e+01,0.00000000e+00,3.60000000e+03,2.56188198e+04,1.10112991e+01,1.10112991e+01,3.60163063e-01,2.21533397e+00,5.27849738e-03,6.22397956e-310,1.16936346e+05,2.74573913e+00,2.74573913e+00,7.03425960e+04,1.07622545e+04,
11,12,3,8.00000000e-01,1.00000000e+01,2.70159519e+01,0.00000000e+00,3.60000000e+03,2.56188198e+04,1.10112991e+01,1.10112991e+01,3.60163063e-01,2.21533397e+00,1.78625970e-03,6.22397956e-310,3.95716180e+04,9.29166541e-01,9.29166541e-01,2.38041502e+04,3.64197991e+03,
11,12,3,8.00000000e-01,1.00000000e+01,3.24191423e+01,0.00000000e+00,3.60000000e+03,2.56188198e+04,1.10112991e+01,1.10112991e+01,3.60163063e-01,2.21533397e+00,4.75126090e-04,6.22397956e-310,1.05256297e+04,2.47148422e-01,2.47148422e-01,6.33165087e+03,9.68727937e+02,
11,12,3,8.00000000e-01,2.15443469e+01,0.00000000e+00,0.00000000e+00,3.60000000e+03,2.56188198e+04,1.65059395e+01,1.65059395e+01,8.87947619e-01,8.98571065e-01,2.41696204e-02,6.22397956e-310,2.17181215e+05,5.63558080e+00,5.63558080e+00,1.44376929e+05,2.10721016e+04,
11,12,3,8.00000000e-01,2.15443469e+01,8.18065842e+00,0.00000000e+00,3.60000000e+03,2.56188198e+04,1.65059395e+01,1.65059395e+01,8.87947619e-01,8.98571065e-01,2.13761831e-02,6.22397956e-310,1.92080196e+05,4.98424075e+00,4.98424075e+00,1.27690366e+05,1.86366643e+04,
11,12,3,8.00000000e-01,2.15443469e+01,1.63613168e+01,0.00000000e+00,3.60000000e+03,2.56188198e+04,1.65059395e+01,1.65059395e+01,8.87947619e-01,8.98571065e-01,1.47880584e-02,6.22397956e-310,1.32881213e+05,3.44810122e+00,3.44810122e+00,8.83362838e+04,1.28928573e+04,
11,12,3,8.00000000e-01,2.15443469e+01,2.45419753e+01,0.00000000e+00,3.60000000e+03,2.56188198e+04,1.65059395e+01,1.65059395e+01,8.87947619e-01,8.98571065e-01,8.00226286e-03,6.22397956e-310,7.19060186e+04,1.86587121e+00,1.86587121e+00,4.78014183e+04,6.97671262e+03,
11,12,3,8.00000000e-01,2.15443469e+01,3.27226337e+01,0.00000000e+00,3.60000000e+03,2.56188198e+04,1.65059395e+01,1.65059395e+01,8.87947619e-01,8.98571065e-01,3.38715549e-03,6.22397956e-310,3.04359991e+04,7.89776094e-01,7.89776094e-01,2.02331314e+04,2.95306601e+03,
11,12,3,8.00000000e-01,2.15443469e+01,4.09032921e+01,0.00000000e+00,3.60000000e+03,2.56188198e+04,1.65059395e+01,1.65059395e+01,8.87947619e-01,8.98571065e-01,1.12144535e-03,6.22397956e-310,1.00769835e+04,2.61485112e-01,2.61485112e-01,6.69893996e+03,9.77723689e+02,
11,12,3,8.00000000e-01,2.15443469e+01,4.90839505e+01,0.00000000e+00,3.60000000e+03,2.56188198e+04,1.65059395e+01,1.65059395e+01,8.87947619e-01,8.98571065e-01,2.90430192e-04,6.22397956e-310,2.60972167e+03,6.77190120e-02,6.77190120e-02,1.73488116e+03,2.53209376e+02,
11,12,3,8.00000000e-01,4.64158883e+01,0.00000000e+00,0.00000000e+00,3.60000000e+03,2.56188198e+04,2.99762650e+01,2.99762650e+01,4.01808214e+00,1.98573470e-01,1.33086057e-02,6.22397956e-310,2.64273602e+04,7.12413466e-01,7.12413466e-01,1.82511922e+04,2.60667994e+03,
11,12,3,8.00000000e-01,4.64158883e+01,1.48728293e+01,0.00000000e+00,3.60000000e+03,2.56188198e+04,2.99762650e+01,2.99762650e+01,4.01808214e+00,1.98573470e-01,1.17673262e-02,6.22397956e-310,2.33667879e+04,6.29908332e-01,6.29908332e-01,1.61375080e+04,2.30479840e+03,
11,12,3,8.00000000e-01,4.64158883e+01,2.97456587e+01,0.00000000e+00,3.60000000e+03,2.56188198e+04,2.99762650e+01,2.99762650e+01,4.01808214e+00,1.98573470e-01,8.13417462e-03,6.22397956e-310,1.61523128e+04,4.35424691e-01,4.35424691e-01,1.11550667e+04,1.59319393e+03,
11,12,3,8.00000000e-01,4.64158883e+01,4.46184880e+01,0.00000000e+00,3.60000000e+03,2.56188198e+04,2.99762650e+01,2.99762650e+01,4.01808214e+00,1.98573470e-01,4.39581734e-03,6.22397956e-310,8.72892701e+03,2.35309357e-01,2.35309357e-01,6.02834802e+03,8.60983419e+02,
11,12,3,8.00000000e-01,4.64158883e+01,5.94913173e+01,0.00000000e+00,3.60000000e+03,2.56188198e+04,2.99762650e+01,2.99762650e+01,4.01808214e+00,1.98573470e-01,1.85718979e-03,6.22397956e-310,3.68788621e+03,9.94159000e-02,9.94159000e-02,2.54691802e+03,3.63757066e+02,
11,12,3,8.00000000e-01,4.64158883e+01,7.43641466e+01,0.00000000e+00,3.60000000e+03,2.56188198e+04,2.99762650e+01,2.99762650e+01,4.01808214e+00,1.98573470e-01,6.13427748e-04,6.22397956e-310,1.21810476e+03,3.28369626e-02,3.28369626e-02,8.41244226e+02,1.20148559e+02,
11,12,3,8.00000000e-01,4.64158883e+01,8.92369760e+01,0.00000000e+00,3.60000000e+03,2.56188198e+04,2.99762650e+01,2.99762650e+01,4.01808214e+00,1.98573470e-01,1.58402077e-04,6.22397956e-310,3.14544500e+02,8.47930841e-03,8.47930841e-03,2.17229874e+02,3.10253023e+01,
11,12,3,8.00000000e-01,1.00000000e+02,0.00000000e+00,0.00000000e+00,3.60000000e+03,2.56188198e+04,6.51473694e+01,6.51473694e+01,2.41337757e+01,3.30609089e-02,6.12368996e-03,6.22397956e-310,2.02454756e+03,5.44816473e-02,5.44816473e-02,1.39575550e+03,1.97160404e+02,
11,12,3,8.00000000e-01,1.00000000e+02,3.24688028e+01,0.00000000e+00,3.60000000e+03,2.56188198e+04,6.51473694e+01,6.51473694e+01,2.41337757e+01,3.30609089e-02,5.40848228e-03,6.22397956e-310,1.78809340e+03,4.81185406e-02,4.81185406e-02,1.23274022e+03,1.74133334e+02,
11,12,3,8.00000000e-01,1.00000000e+02,6.49376056e+01,0.00000000e+00,3.60000000e+03,2.56188198e+04,6.51473694e+01,6.51473694e+01,2.41337757e+01,3.30609089e-02,3.72616483e-03,6.22397956e-310,1.23190396e+03,3.31511881e-02,3.31511881e-02,8.49294314e+02,1.19968870e+02,
11,12,3,8.00000000e-01,1.00000000e+02,9.74064084e+01,0.00000000e+00,3.60000000e+03,2.56188198e+04,6.51473694e+01,6.51473694e+01,2.41337757e+01,3.30609089e-02,2.00250287e-03,6.22397956e-310,6.62045650e+02,1.78159991e-02,1.78159991e-02,4.56424871e+02,6.44732631e+01,
11,12,3,8.00000000e-01,1.00000000e+02,1.29875211e+02,0.00000000e+00,3.60000000e+03,2.56188198e+04,6.51473694e+01,6.51473694e+01,2.41337757e+01,3.30609089e-02,8.39476737e-04,6.22397956e-310,2.77538639e+02,7.46871180e-03,7.46871180e-03,1.91339582e+02,2.70280784e+01,
11,12,3,8.00000000e-01,1.00000000e+02,1.62344014e+02,0.00000000e+00,3.60000000e+03,2.56188198e+04,6.51473694e+01,6.51473694e+01,2.41337757e+01,3.30609089e-02,2.74516523e-04,6.22397956e-310,9.07576576e+01,2.44233664e-03,2.44233664e-03,6.25697822e+01,8.83842729e+00,
11,12,3,8.00000000e-01,1.00000000e+02,1.94812817e+02,0.00000000e+00,3.60000000e+03,2.56188198e+04,6.51473694e+01,6.51473694e+01,2.41337757e+01,3.30609089e-02,7.00249818e-05,6.22397956e-310,2.31508955e+01,6.23002860e-04,6.23002860e-04,1.59605980e+01,2.25454812e+00,
