case,istab,wind,x,y,z,t,dur,sig_x,sig_y,sig_z,zfunc,yfunc,xfunc,qyz,cpeak,concentration,dinf,dose,
12,3,4.1,1,0,0,3600,124054,0.7062,0.7062,0.0282117,28.2643,0.564914,6.92876e-310,1.59669e+08,1.70186989e+02,1.70186989e+02,2.11123866e+07,6.34102199e+05,
12,3,4.10000000e+00,1.00000000e+00,3.53100176e-01,0.00000000e+00,3.60000000e+03,1.24054058e+05,7.06200361e-01,7.06200361e-01,2.82117147e-02,2.82642690e+01,4.98534631e-01,6.92876397e-310,1.40907169e+08,1.50189491e+02,1.50189491e+02,1.86316158e+07,5.59593227e+05,
12,3,4.10000000e+00,1.00000000e+00,7.06200352e-01,0.00000000e+00,3.60000000e+03,1.24054058e+05,7.06200361e-01,7.06200361e-01,2.82117147e-02,2.82642690e+01,3.42637507e-01,6.92876397e-310,9.68439868e+07,1.03223627e+02,1.03223627e+02,1.28053098e+07,3.84602425e+05,
12,3,4.10000000e+00,1.00000000e+00,1.05930053e+00,0.00000000e+00,3.60000000e+03,1.24054058e+05,7.06200361e-01,7.06200361e-01,2.82117147e-02,2.82642690e+01,1.83400642e-01,6.92876397e-310,5.18368507e+07,5.52516260e+01,5.52516260e+01,6.85418840e+06,2.05862843e+05,
12,3,4.10000000e+00,1.00000000e+00,1.41240070e+00,0.00000000e+00,3.60000000e+03,1.24054058e+05,7.06200361e-01,7.06200361e-01,2.82117147e-02,2.82642690e+01,7.64527619e-02,6.92876397e-310,2.16088143e+07,2.30323044e+01,2.30323044e+01,2.85725082e+06,8.58164007e+04,
12,3,4.10000000e+00,1.00000000e+00,1.76550088e+00,0.00000000e+00,3.60000000e+03,1.24054058e+05,7.06200361e-01,7.06200361e-01,2.82117147e-02,2.82642690e+01,2.48205778e-02,6.92876397e-310,7.01535487e+06,7.47749445e+00,7.47749445e+00,9.27613529e+05,2.78605062e+04,
12,3,4.10000000e+00,1.00000000e+00,2.11860106e+00,0.00000000e+00,3.60000000e+03,1.24054058e+05,7.06200361e-01,7.06200361e-01,2.82117147e-02,2.82642690e+01,6.27562485e-03,6.92876397e-310,1.77375949e+06,1.89060667e+00,1.89060667e+00,2.34537430e+05,7.04423913e+03,
12,3,4.10000000e+00,2.15443469e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.24054058e+05,1.59761596e+00,1.59761596e+00,7.54595548e-02,1.05727434e+01,2.49711008e-01,6.92876397e-310,2.64013041e+07,2.78241624e+01,2.78241624e+01,3.45170025e+06,1.04173978e+05,
12,3,4.10000000e+00,2.15443469e+00,7.98808036e-01,0.00000000e+00,3.60000000e+03,1.24054058e+05,1.59761596e+00,1.59761596e+00,7.54595548e-02,1.05727434e+01,2.20369185e-01,6.92876397e-310,2.32990684e+07,2.45547364e+01,2.45547364e+01,3.04611469e+06,9.19332101e+04,
12,3,4.10000000e+00,2.15443469e+00,1.59761607e+00,0.00000000e+00,3.60000000e+03,1.24054058e+05,1.59761596e+00,1.59761596e+00,7.54595548e-02,1.05727434e+01,1.51457365e-01,6.92876397e-310,1.60131985e+07,1.68762056e+01,1.68762056e+01,2.09356178e+06,6.31847040e+04,
12,3,4.10000000e+00,2.15443469e+00,2.39642411e+00,0.00000000e+00,3.60000000e+03,1.24054058e+05,1.59761596e+00,1.59761596e+00,7.54595548e-02,1.05727434e+01,8.10692805e-02,6.92876397e-310,8.57124699e+06,9.03318136e+00,9.03318136e+00,1.12060280e+06,3.38203329e+04,
12,3,4.10000000e+00,2.15443469e+00,3.19523214e+00,0.00000000e+00,3.60000000e+03,1.24054058e+05,1.59761596e+00,1.59761596e+00,7.54595548e-02,1.05727434e+01,3.37946939e-02,6.92876397e-310,3.57302627e+06,3.76558910e+00,3.76558910e+00,4.67136609e+05,1.40984081e+04,
12,3,4.10000000e+00,2.15443469e+00,3.99404018e+00,0.00000000e+00,3.60000000e+03,1.24054058e+05,1.59761596e+00,1.59761596e+00,7.54595548e-02,1.05727434e+01,1.09715295e-02,6.92876397e-310,1.15999165e+06,1.22250765e+00,1.22250765e+00,1.51657034e+05,4.57708242e+03,
