case,istab,wind,x,y,z,t,dur,sig_x,sig_y,sig_z,zfunc,yfunc,xfunc,qyz,cpeak,concentration,dinf,dose,
9,3,4.1,1,0,0,3600,19289.7,0.572824,1.47609,0.195526,4.08065,0.270269,0,1.10287e+07,1.33811624e+02,1.33811624e+02,2.58118608e+06,4.81687515e+05,
9,3,4.10000000e+00,1.00000000e+00,3.53100176e-01,0.00000000e+00,3.60000000e+03,1.92897000e+04,5.72823635e-01,1.47609228e+00,1.95526329e-01,4.08064811e+00,2.62646007e-01,0.00000000e+00,1.07176593e+07,1.30037339e+02,1.30037339e+02,2.50838126e+06,4.68101059e+05,
9,3,4.10000000e+00,1.00000000e+00,7.06200352e-01,0.00000000e+00,3.60000000e+03,1.92897000e+04,5.72823635e-01,1.47609228e+00,1.95526329e-01,4.08064811e+00,2.41042433e-01,0.00000000e+00,9.83609349e+06,1.19341303e+02,1.19341303e+02,2.30205793e+06,4.29598073e+05,
9,3,4.10000000e+00,1.00000000e+00,1.05930053e+00,0.00000000e+00,3.60000000e+03,1.92897000e+04,5.72823635e-01,1.47609228e+00,1.95526329e-01,4.08064811e+00,2.08912618e-01,0.00000000e+00,8.52498878e+06,1.03433672e+02,1.03433672e+02,1.99520450e+06,3.72334683e+05,
9,3,4.10000000e+00,1.00000000e+00,1.41240070e+00,0.00000000e+00,3.60000000e+03,1.92897000e+04,5.72823635e-01,1.47609228e+00,1.95526329e-01,4.08064811e+00,1.70995352e-01,0.00000000e+00,6.97771860e+06,8.46606461e+01,8.46606461e+01,1.63307846e+06,3.04756605e+05,
9,3,4.10000000e+00,1.00000000e+00,1.76550088e+00,0.00000000e+00,3.60000000e+03,1.92897000e+04,5.72823635e-01,1.47609228e+00,1.95526329e-01,4.08064811e+00,1.32175950e-01,0.00000000e+00,5.39363539e+06,6.54409676e+01,6.54409676e+01,1.26233663e+06,2.35570694e+05,
9,3,4.10000000e+00,1.00000000e+00,2.11860106e+00,0.00000000e+00,3.60000000e+03,1.92897000e+04,5.72823635e-01,1.47609228e+00,1.95526329e-01,4.08064811e+00,9.64870388e-02,0.00000000e+00,3.93729652e+06,4.77712110e+01,4.77712110e+01,9.21492328e+05,1.71964103e+05,
9,3,4.10000000e+00,2.15443469e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.92897000e+04,7.19163122e-01,2.39661118e+00,2.94612050e-01,2.70823935e+00,1.66460999e-01,0.00000000e+00,4.50816229e+06,5.69239886e+01,5.69239886e+01,1.09804666e+06,2.04896402e+05,
9,3,4.10000000e+00,2.15443469e+00,7.98808036e-01,0.00000000e+00,3.60000000e+03,1.92897000e+04,7.19163122e-01,2.39661118e+00,2.94612050e-01,2.70823935e+00,1.57466724e-01,0.00000000e+00,4.26457577e+06,5.38482529e+01,5.38482529e+01,1.03871664e+06,1.93825372e+05,
9,3,4.10000000e+00,2.15443469e+00,1.59761607e+00,0.00000000e+00,3.60000000e+03,1.92897000e+04,7.19163122e-01,2.39661118e+00,2.94612050e-01,2.70823935e+00,1.33296170e-01,0.00000000e+00,3.60997934e+06,4.55827474e+01,4.55827474e+01,8.79277523e+05,1.64073902e+05,
