case,istab,wind,x,y,z,t,dur,sig_x,sig_y,sig_z,zfunc,yfunc,xfunc,qyz,cpeak,concentration,dinf,dose,
17,3,0.8,1,0,0,3600,2.83502e+06,0.542033,1.52842,0.121272,6.57909,0.261016,0,1.71725e+07,7.32530990e+00,7.32530990e+00,2.07674001e+07,2.63615858e+04,
17,3,8.00000000e-01,1.00000000e+00,5.98852033e-01,0.00000000e+00,3.60000000e+03,2.83502000e+06,5.42033191e-01,1.52842088e+00,1.21271784e-01,6.57908562e+00,2.41730571e-01,0.00000000e+00,1.59036613e+07,6.78407225e+00,6.78407225e+00,1.92329805e+07,2.44138344e+04,
17,3,8.00000000e-01,1.00000000e+00,1.19770407e+00,0.00000000e+00,3.60000000e+03,2.83502000e+06,5.42033191e-01,1.52842088e+00,1.21271784e-01,6.57908562e+00,1.92010495e-01,0.00000000e+00,1.26325348e+07,5.38869809e+00,5.38869809e+00,1.52770669e+07,1.93923027e+04,
17,3,8.00000000e-01,1.00000000e+00,1.79655610e+00,0.00000000e+00,3.60000000e+03,2.83502000e+06,5.42033191e-01,1.52842088e+00,1.21271784e-01,6.57908562e+00,1.30811917e-01,0.00000000e+00,8.60622800e+06,3.67118437e+00,3.67118437e+00,1.04078811e+07,1.32114877e+04,
17,3,8.00000000e-01,1.00000000e+00,2.39540813e+00,0.00000000e+00,3.60000000e+03,2.83502000e+06,5.42033191e-01,1.52842088e+00,1.21271784e-01,6.57908562e+00,7.64360994e-02,0.00000000e+00,5.02879642e+06,2.14514870e+00,2.14514870e+00,6.08153947e+06,7.71974460e+03,
17,3,8.00000000e-01,1.00000000e+00,2.99426016e+00,0.00000000e+00,3.60000000e+03,2.83502000e+06,5.42033191e-01,1.52842088e+00,1.21271784e-01,6.57908562e+00,3.83070519e-02,0.00000000e+00,2.52025374e+06,1.07507216e+00,1.07507216e+00,3.04785108e+06,3.86886117e+03,
17,3,8.00000000e-01,1.00000000e+00,3.59311220e+00,0.00000000e+00,3.60000000e+03,2.83502000e+06,5.42033191e-01,1.52842088e+00,1.21271784e-01,6.57908562e+00,1.64659916e-02,0.00000000e+00,1.08331168e+06,4.62111498e-01,4.62111498e-01,1.31009534e+06,1.66300021e+03,
17,3,8.00000000e-01,2.15443469e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,2.83502000e+06,6.88914110e-01,2.51111567e+00,1.44940496e-01,5.50478029e+00,1.58870536e-01,0.00000000e+00,8.74547393e+06,3.85260039e+00,3.85260039e+00,1.09221991e+07,1.38589762e+04,
17,3,8.00000000e-01,2.15443469e+00,1.11092163e+00,0.00000000e+00,3.60000000e+03,2.83502000e+06,6.88914110e-01,2.51111567e+00,1.44940496e-01,5.50478029e+00,1.44060022e-01,0.00000000e+00,7.93018771e+06,3.49344638e+00,3.49344638e+00,9.90399035e+06,1.25669899e+04,
17,3,8.00000000e-01,2.15443469e+00,2.22184325e+00,0.00000000e+00,3.60000000e+03,2.83502000e+06,6.88914110e-01,2.51111567e+00,1.44940496e-01,5.50478029e+00,1.07409781e-01,0.00000000e+00,5.91267244e+06,2.60468035e+00,2.60468035e+00,7.38432089e+06,9.36982802e+03,
