case,istab,wind,x,y,z,t,dur,sig_x,sig_y,sig_z,zfunc,yfunc,xfunc,qyz,cpeak,concentration,dinf,dose,
20,3,12,1,0,0,3600,324850,0.542033,1.12494,0.204326,3.90492,0.354635,0,1.38482e+07,3.43691301e+00,3.43691301e+00,1.11648119e+06,1.23725887e+04,
20,3,1.20000000e+01,1.00000000e+00,3.61262926e-01,0.00000000e+00,3.60000000e+03,3.24850000e+05,5.42033191e-01,1.12493872e+00,2.04325644e-01,3.90491857e+00,3.36811267e-01,0.00000000e+00,1.31522057e+07,3.26417879e+00,3.26417879e+00,1.06036848e+06,1.17507605e+04,
20,3,1.20000000e+01,1.00000000e+00,7.22525853e-01,0.00000000e+00,3.60000000e+03,3.24850000e+05,5.42033191e-01,1.12493872e+00,2.04325644e-01,3.90491857e+00,2.88537860e-01,0.00000000e+00,1.12671685e+07,2.79634102e+00,2.79634102e+00,9.08391380e+05,1.00665851e+04,
20,3,1.20000000e+01,1.00000000e+00,1.08378878e+00,0.00000000e+00,3.60000000e+03,3.24850000e+05,5.42033191e-01,1.12493872e+00,2.04325644e-01,3.90491857e+00,2.22961453e-01,0.00000000e+00,8.70646320e+06,2.16081265e+00,2.16081265e+00,7.01939989e+05,7.77873812e+03,
20,3,1.20000000e+01,1.00000000e+00,1.44505171e+00,0.00000000e+00,3.60000000e+03,3.24850000e+05,5.42033191e-01,1.12493872e+00,2.04325644e-01,3.90491857e+00,1.55405930e-01,0.00000000e+00,6.06847504e+06,1.50610384e+00,1.50610384e+00,4.89257831e+05,5.42184319e+03,
20,3,1.20000000e+01,1.00000000e+00,1.80631463e+00,0.00000000e+00,3.60000000e+03,3.24850000e+05,5.42033191e-01,1.12493872e+00,2.04325644e-01,3.90491857e+00,9.77048475e-02,0.00000000e+00,3.81529474e+06,9.46898521e-01,9.46898521e-01,3.07599985e+05,3.40875255e+03,
20,3,1.20000000e+01,1.00000000e+00,2.16757756e+00,0.00000000e+00,3.60000000e+03,3.24850000e+05,5.42033191e-01,1.12493872e+00,2.04325644e-01,3.90491857e+00,5.54083869e-02,0.00000000e+00,2.16365239e+06,5.36985840e-01,5.36985840e-01,1.74439850e+05,1.93310245e+03,
20,3,1.20000000e+01,2.15443469e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,3.24850000e+05,6.88914110e-01,1.96305510e+00,3.58150221e-01,2.22778439e+00,2.03225213e-01,0.00000000e+00,4.52741957e+06,1.16038834e+00,1.16038834e+00,3.76952151e+05,4.17718948e+03,
20,3,1.20000000e+01,2.15443469e+00,7.79961481e-01,0.00000000e+00,3.60000000e+03,3.24850000e+05,6.88914110e-01,1.96305510e+00,3.58150221e-01,2.22778439e+00,1.87801042e-01,0.00000000e+00,4.18380228e+06,1.07231841e+00,1.07231841e+00,3.48342637e+05,3.86015358e+03,
20,3,1.20000000e+01,2.15443469e+00,1.55992296e+00,0.00000000e+00,3.60000000e+03,3.24850000e+05,6.88914110e-01,1.96305510e+00,3.58150221e-01,2.22778439e+00,1.48203761e-01,0.00000000e+00,3.30166024e+06,8.46223323e-01,8.46223323e-01,2.74895646e+05,3.04625189e+03,
