id,case,istab,wind,x,y,z,t,dur,sig_x0,sig_y0,sig_z0,sig_x,sig_y,sig_z,zfunc,yfunc,xfunc,qyz,cpeak,concentration,dinf,dose,
5,5,3,2.3,1,0,0,1800,300,1,1,1,1.72608,1.72608,1.15445,0.691136,0.231126,6.39712e-310,1.5974e+06,9.78895440e+02,0.00000000e+00,2.93668632e+05,3.40969074e+05,
5,5,3,2.30000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,3.00000000e+02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.72607934e+00,1.72607934e+00,1.15445411e+00,6.91135548e-01,2.31126276e-01,6.39711644e-310,1.59739586e+06,9.78895440e+02,0.00000000e+00,2.93668632e+05,3.40969074e+05,
5,5,3,2.30000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,5.40000000e+03,3.00000000e+02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.72607934e+00,1.72607934e+00,1.15445411e+00,6.91135548e-01,2.31126276e-01,6.39711644e-310,1.59739586e+06,9.78895440e+02,0.00000000e+00,2.93668632e+05,3.40969074e+05,
5,5,3,2.30000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,7.20000000e+03,3.00000000e+02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.72607934e+00,1.72607934e+00,1.15445411e+00,6.91135548e-01,2.31126276e-01,6.39711644e-310,1.59739586e+06,9.78895440e+02,0.00000000e+00,2.93668632e+05,3.40969074e+05,
5,5,3,2.30000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,9.00000000e+03,3.00000000e+02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.72607934e+00,1.72607934e+00,1.15445411e+00,6.91135548e-01,2.31126276e-01,6.39711644e-310,1.59739586e+06,9.78895440e+02,0.00000000e+00,2.93668632e+05,3.40969074e+05,
5,5,3,2.30000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,1.08000000e+04,3.00000000e+02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.72607934e+00,1.72607934e+00,1.15445411e+00,6.91135548e-01,2.31126276e-01,6.39711644e-310,1.59739586e+06,9.78895440e+02,0.00000000e+00,2.93668632e+05,3.40969074e+05,
5,5,3,2.30000000e+00,1.00000000e+00,4.38882930e-01,0.00000000e+00,1.80000000e+03,3.00000000e+02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.72607934e+00,1.72607934e+00,1.15445411e+00,6.91135548e-01,2.23774460e-01,6.39711644e-310,1.54658484e+06,9.47758089e+02,0.00000000e+00,2.84327427e+05,3.30123305e+05,
5,5,3,2.30000000e+00,1.00000000e+00,4.38882930e-01,0.00000000e+00,3.60000000e+03,3.00000000e+02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.72607934e+00,1.72607934e+00,1.15445411e+00,6.91135548e-01,2.23774460e-01,6.39711644e-310,1.54658484e+06,9.47758089e+02,0.00000000e+00,2.84327427e+05,3.30123305e+05,
5,5,3,2.30000000e+00,1.00000000e+00,4.38882930e-01,0.00000000e+00,5.40000000e+03,3.00000000e+02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.72607934e+00,1.72607934e+00,1.15445411e+00,6.91135548e-01,2.23774460e-01,6.39711644e-310,1.54658484e+06,9.47758089e+02,0.00000000e+00,2.84327427e+05,3.30123305e+05,
5,5,3,2.30000000e+00,1.00000000e+00,4.38882930e-01,0.00000000e+00,7.20000000e+03,3.00000000e+02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.72607934e+00,1.72607934e+00,1.15445411e+00,6.91135548e-01,2.23774460e-01,6.39711644e-310,1.54658484e+06,9.47758089e+02,0.00000000e+00,2.84327427e+05,3.30123305e+05,
5,5,3,2.30000000e+00,1.00000000e+00,4.38882930e-01,0.00000000e+00,9.00000000e+03,3.00000000e+02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.72607934e+00,1.72607934e+00,1.15445411e+00,6.91135548e-01,2.23774460e-01,6.39711644e-310,1.54658484e+06,9.47758089e+02,0.00000000e+00,2.84327427e+05,3.30123305e+05,
5,5,3,2.30000000e+00,1.00000000e+00,4.38882930e-01,0.00000000e+00,1.08000000e+04,3.00000000e+02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.72607934e+00,1.72607934e+00,1.15445411e+00,6.91135548e-01,2.23774460e-01,6.39711644e-310,1.54658484e+06,9.47758089e+02,0.00000000e+00,2.84327427e+05,3.30123305e+05,
