iloc,x,y,z,t
0,1.0,0.0,0,3600
1,1.0,0.4193510858941285,0,3600
2,1.0,0.838702171788257,0,3600
3,1.0,1.2580532576823855,0,3600
4,1.0,1.677404343576514,0,3600
5,1.0,2.0967554294706425,0,3600
6,1.0,2.516106515364771,0,3600
7,2.154434690031884,0.0,0,3600
8,2.154434690031884,0.81362695301213,0,3600
9,2.154434690031884,1.62725390602426,0,3600
10,2.154434690031884,2.44088085903639,0,3600
11,2.154434690031884,3.25450781204852,0,3600
12,2.154434690031884,4.06813476506065,0,3600
13,2.154434690031884,4.88176171807278,0,3600
14,4.641588833612778,0.0,0,3600
15,4.641588833612778,1.5783526248972084,0,3600
16,4.641588833612778,3.156705249794417,0,3600
17,4.641588833612778,4.735057874691625,0,3600
18,4.641588833612778,6.313410499588834,0,3600
19,4.641588833612778,7.891763124486042,0,3600
20,4.641588833612778,9.47011574938325,0,3600
21,10.0,0.0,0,3600
22,10.0,3.0613564619440465,0,3600
23,10.0,6.122712923888093,0,3600
24,10.0,9.184069385832139,0,3600
25,10.0,12.245425847776186,0,3600
26,10.0,15.306782309720234,0,3600
27,10.0,18.368138771664277,0,3600
28,21.544346900318832,0.0,0,3600
29,21.544346900318832,4.838858709700558,0,3600
30,21.544346900318832,9.677717419401116,0,3600
31,21.544346900318832,14.516576129101674,0,3600
32,21.544346900318832,19.355434838802232,0,3600
33,21.544346900318832,24.19429354850279,0,3600
34,21.544346900318832,29.033152258203348,0,3600
35,46.41588833612777,0.0,0,3600
36,46.41588833612777,7.676438281580026,0,3600
37,46.41588833612777,15.352876563160052,0,3600
38,46.41588833612777,23.029314844740078,0,3600
39,46.41588833612777,30.705753126320104,0,3600
40,46.41588833612777,38.38219140790013,0,3600
41,46.41588833612777,46.058629689480156,0,3600
42,100.0,0.0,0,3600
43,100.0,12.22262156028872,0,3600
44,100.0,24.44524312057744,0,3600
45,100.0,36.66786468086616,0,3600
46,100.0,48.89048624115488,0,3600
47,100.0,61.113107801443604,0,3600
48,100.0,73.33572936173232,0,3600
49,215.44346900318823,0.0,0,3600
50,215.44346900318823,21.523511382972934,0,3600
51,215.44346900318823,43.04702276594587,0,3600
52,215.44346900318823,64.5705341489188,0,3600
53,215.44346900318823,86.09404553189174,0,3600
54,215.44346900318823,107.61755691486468,0,3600
55,215.44346900318823,129.1410682978376,0,3600
56,464.15888336127773,0.0,0,3600
57,464.15888336127773,38.61464707681069,0,3600
58,464.15888336127773,77.22929415362138,0,3600
59,464.15888336127773,115.84394123043208,0,3600
60,464.15888336127773,154.45858830724276,0,3600
61,464.15888336127773,193.07323538405345,0,3600
62,464.15888336127773,231.68788246086416,0,3600
63,1000.0,0.0,0,3600
64,1000.0,70.57992653396593,0,3600
65,1000.0,141.15985306793186,0,3600
66,1000.0,211.7397796018978,0,3600
67,1000.0,282.3197061358637,0,3600
68,1000.0,352.89963266982966,0,3600
69,1000.0,423.4795592037956,0,3600
70,2154.4346900318824,0.0,0,3600
71,2154.4346900318824,128.96388451211484,0,3600
72,2154.4346900318824,257.9277690242297,0,3600
73,2154.4346900318824,386.8916535363445,0,3600
74,2154.4346900318824,515.8555380484594,0,3600
75,2154.4346900318824,644.8194225605743,0,3600
76,2154.4346900318824,773.783307072689,0,3600
77,4641.588833612777,0.0,0,3600
78,4641.588833612777,242.93585672464215,0,3600
79,4641.588833612777,485.8717134492843,0,3600
80,4641.588833612777,728.8075701739265,0,3600
81,4641.588833612777,971.7434268985686,0,3600
82,4641.588833612777,1214.6792836232107,0,3600
83,4641.588833612777,1457.615140347853,0,3600
84,10000.0,0.0,0,3600
85,10000.0,446.97072462679375,0,3600
86,10000.0,893.9414492535875,0,3600
87,10000.0,1340.9121738803813,0,3600
88,10000.0,1787.882898507175,0,3600
89,10000.0,2234.8536231339685,0,3600
90,10000.0,2681.8243477607625,0,3600
91,21544.346900318822,0.0,0,3600
92,21544.346900318822,825.6576362174235,0,3600
93,21544.346900318822,1651.315272434847,0,3600
94,21544.346900318822,2476.9729086522702,0,3600
95,21544.346900318822,3302.630544869694,0,3600
96,21544.346900318822,4128.288181087118,0,3600
97,21544.346900318822,4953.9458173045405,0,3600
98,46415.888336127726,0.0,0,3600
99,46415.888336127726,1444.1606050339733,0,3600
100,46415.888336127726,2888.3212100679466,0,3600
101,46415.888336127726,4332.48181510192,0,3600
102,46415.888336127726,5776.642420135893,0,3600
103,46415.888336127726,7220.8030251698665,0,3600
104,46415.888336127726,8664.96363020384,0,3600
105,100000.0,0.0,0,3600
106,100000.0,2391.803817076525,0,3600
107,100000.0,4783.60763415305,0,3600
108,100000.0,7175.411451229575,0,3600
109,100000.0,9567.2152683061,0,3600
110,100000.0,11959.019085382624,0,3600
111,100000.0,14350.82290245915,0,3600
