case,istab,wind,x,y,z,t,dur,sig_x,sig_y,sig_z,zfunc,yfunc,xfunc,qyz,cpeak,concentration,dinf,dose,c_surf,c_surf_inf, C_dep, D_dep, delta_dep
1,3,0.8,1,0,0,3600,1800,1.1977,1.1977,0.0305257,26.1241,0.333089,6.43118e-310,1.5663e+08,5.10661026e+04,0.00000000e+00,9.19189846e+07,1.01492578e+08,7.50628210e+05,6.79822940e+05,0.00000000e+00,1.54867551e+08,1.52590026e+00
1,3,8.00000000e-01,1.00000000e+00,5.98852033e-01,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.19770408e+00,1.19770408e+00,3.05256583e-02,2.61241391e+01,2.93950187e-01,6.43117860e-310,1.38225520e+08,4.50656774e+04,0.00000000e+00,8.11182192e+07,8.95668859e+07,6.62427071e+05,5.99941639e+05,0.00000000e+00,1.36670134e+08,1.52590026e+00
1,3,8.00000000e-01,1.00000000e+00,1.19770407e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.19770408e+00,1.19770408e+00,3.05256583e-02,2.61241391e+01,2.02028812e-01,6.43117860e-310,9.50009179e+07,3.09731569e+04,0.00000000e+00,5.57516824e+07,6.15583604e+07,4.55279024e+05,4.12333457e+05,0.00000000e+00,9.39319179e+07,1.52590026e+00
1,3,8.00000000e-01,1.00000000e+00,1.79655610e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.19770408e+00,1.19770408e+00,3.05256583e-02,2.61241391e+01,1.08138230e-01,6.43117860e-310,5.08503270e+07,1.65787362e+04,0.00000000e+00,2.98417252e+07,3.29498159e+07,2.43693301e+05,2.20706195e+05,0.00000000e+00,5.02781325e+07,1.52590026e+00
1,3,8.00000000e-01,1.00000000e+00,2.39540813e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.19770408e+00,1.19770408e+00,3.05256583e-02,2.61241391e+01,4.50787211e-02,6.43117860e-310,2.11975700e+07,6.91104546e+03,0.00000000e+00,1.24398818e+07,1.37355268e+07,1.01586481e+05,9.20040302e+04,0.00000000e+00,2.09590439e+07,1.52590026e+00
1,3,8.00000000e-01,1.00000000e+00,2.99426016e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.19770408e+00,1.19770408e+00,3.05256583e-02,2.61241391e+01,1.46349180e-02,6.43117860e-310,6.88184341e+06,2.24368796e+03,0.00000000e+00,4.03863833e+06,4.45927267e+06,3.29803019e+04,2.98693354e+04,0.00000000e+00,6.80440531e+06,1.52590026e+00
1,3,8.00000000e-01,1.00000000e+00,3.59311220e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.19770408e+00,1.19770408e+00,3.05256583e-02,2.61241391e+01,3.70028676e-03,6.43117860e-310,1.74000251e+06,5.67293157e+02,0.00000000e+00,1.02112768e+06,1.12748070e+06,8.33872619e+03,7.55215069e+03,0.00000000e+00,1.72042309e+06,1.52590026e+00
1,3,8.00000000e-01,2.15443469e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.22184324e+00,2.22184324e+00,6.04101606e-02,1.32059784e+01,1.79554653e-01,6.43117860e-310,4.26815074e+07,1.45391246e+04,0.00000000e+00,2.61704244e+07,2.83169687e+07,1.84486400e+05,1.70501561e+05,0.00000000e+00,3.80627273e+07,1.34416673e+00
1,3,8.00000000e-01,2.15443469e+00,1.11092163e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.22184324e+00,2.22184324e+00,6.04101606e-02,1.32059784e+01,1.58456425e-01,6.43117860e-310,3.76662981e+07,1.28307325e+04,0.00000000e+00,2.30953184e+07,2.49896372e+07,1.62808676e+05,1.50467099e+05,0.00000000e+00,3.35902390e+07,1.34416673e+00
1,3,8.00000000e-01,2.15443469e+00,2.22184325e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.22184324e+00,2.22184324e+00,6.04101606e-02,1.32059784e+01,1.08905402e-01,6.43117860e-310,2.58876429e+07,8.81842486e+03,0.00000000e+00,1.58731647e+07,1.71751097e+07,1.11896658e+05,1.03414424e+05,0.00000000e+00,2.30862111e+07,1.34416673e+00
1,3,8.00000000e-01,2.15443469e+00,3.33276488e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.22184324e+00,2.22184324e+00,6.04101606e-02,1.32059784e+01,5.82928610e-02,6.43117860e-310,1.38566567e+07,4.72016269e+03,0.00000000e+00,8.49629284e+06,9.19317376e+06,5.98939648e+04,5.53537524e+04,0.00000000e+00,1.23571583e+07,1.34416673e+00
1,3,8.00000000e-01,2.15443469e+00,4.44368651e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.22184324e+00,2.22184324e+00,6.04101606e-02,1.32059784e+01,2.43000798e-02,6.43117860e-310,5.77631390e+06,1.96765655e+03,0.00000000e+00,3.54178179e+06,3.83228498e+06,2.49675191e+04,2.30748770e+04,0.00000000e+00,5.15122998e+06,1.34416673e+00
1,3,8.00000000e-01,2.15443469e+00,5.55460813e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.22184324e+00,2.22184324e+00,6.04101606e-02,1.32059784e+01,7.88908086e-03,6.43117860e-310,1.87529456e+06,6.38804554e+02,0.00000000e+00,1.14984820e+06,1.24416078e+06,8.10576669e+03,7.49131576e+03,0.00000000e+00,1.67235952e+06,1.34416673e+00
1,3,8.00000000e-01,2.15443469e+00,6.66552976e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.22184324e+00,2.22184324e+00,6.04101606e-02,1.32059784e+01,1.99467202e-03,6.43117860e-310,4.74148718e+05,1.61515085e+02,0.00000000e+00,2.90727154e+05,3.14573108e+05,2.04945877e+03,1.89410125e+03,0.00000000e+00,4.22838706e+05,1.34416673e+00
1,3,8.00000000e-01,4.64158883e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,4.62548256e+00,4.62548256e+00,1.17039599e-01,6.81697020e+00,8.62487939e-02,6.43117860e-310,1.05831982e+07,3.64093931e+03,0.00000000e+00,6.55369076e+06,7.05936767e+06,4.00296649e+04,3.71622583e+04,0.00000000e+00,8.25881052e+06,1.16990797e+00
1,3,8.00000000e-01,4.64158883e+00,2.31274101e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,4.62548256e+00,4.62548256e+00,1.17039599e-01,6.81697020e+00,7.61142957e-02,6.43117860e-310,9.33963994e+06,3.21311776e+03,0.00000000e+00,5.78361197e+06,6.22987029e+06,3.53260563e+04,3.27955789e+04,0.00000000e+00,7.28837492e+06,1.16990797e+00
1,3,8.00000000e-01,4.64158883e+00,4.62548203e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,4.62548256e+00,4.62548256e+00,1.17039599e-01,6.81697020e+00,5.23125441e-02,6.43117860e-310,6.41903497e+06,2.20834159e+03,0.00000000e+00,3.97501486e+06,4.28172344e+06,2.42792219e+04,2.25400518e+04,0.00000000e+00,5.00922239e+06,1.16990797e+00
1,3,8.00000000e-01,4.64158883e+00,6.93822304e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,4.62548256e+00,4.62548256e+00,1.17039599e-01,6.81697020e+00,2.80008887e-02,6.43117860e-310,3.43586203e+06,1.18204014e+03,0.00000000e+00,2.12767226e+06,2.29184154e+06,1.29957318e+04,1.20648210e+04,0.00000000e+00,2.68124369e+06,1.16990797e+00
1,3,8.00000000e-01,4.64158883e+00,9.25096406e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,4.62548256e+00,4.62548256e+00,1.17039599e-01,6.81697020e+00,1.16725105e-02,6.43117860e-310,1.43228081e+06,4.92747788e+02,0.00000000e+00,8.86946019e+05,9.55381978e+05,5.41742862e+03,5.02936716e+03,0.00000000e+00,1.11770899e+06,1.16990797e+00
1,3,8.00000000e-01,4.64158883e+00,1.15637051e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,4.62548256e+00,4.62548256e+00,1.17039599e-01,6.81697020e+00,3.78950979e-03,6.43117860e-310,4.64993556e+05,1.59971804e+02,0.00000000e+00,2.87949248e+05,3.10167153e+05,1.75878178e+03,1.63279665e+03,0.00000000e+00,3.62867026e+05,1.16990797e+00
1,3,8.00000000e-01,4.64158883e+00,1.38764461e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,4.62548256e+00,4.62548256e+00,1.17039599e-01,6.81697020e+00,9.58138238e-04,6.43117860e-310,1.17568797e+05,4.04472112e+01,0.00000000e+00,7.28049801e+04,7.84225471e+04,4.44689726e+02,4.12835695e+02,0.00000000e+00,9.17471631e+04,1.16990797e+00
1,3,8.00000000e-01,1.00000000e+01,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.08063803e+01,1.08063803e+01,2.21990004e-01,3.59420001e+00,3.69172916e-02,6.43117860e-310,2.38838634e+06,8.02583317e+02,0.00000000e+00,1.44464997e+06,1.57292144e+06,7.62379980e+03,7.00208026e+03,0.00000000e+00,1.57292144e+06,1.00000000e+00
1,3,8.00000000e-01,1.00000000e+01,5.40319039e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.08063803e+01,1.08063803e+01,2.21990004e-01,3.59420001e+00,3.25793955e-02,6.43117860e-310,2.10774355e+06,7.08277291e+02,0.00000000e+00,1.27489912e+06,1.38809830e+06,6.72797971e+03,6.17931414e+03,0.00000000e+00,1.38809830e+06,1.00000000e+00
1,3,8.00000000e-01,1.00000000e+01,1.08063808e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.08063803e+01,1.08063803e+01,2.21990004e-01,3.59420001e+00,2.23914692e-02,6.43117860e-310,1.44862954e+06,4.86791389e+02,0.00000000e+00,8.76224500e+05,9.54025077e+05,4.62406832e+03,4.24697636e+03,0.00000000e+00,9.54025077e+05,1.00000000e+00
1,3,8.00000000e-01,1.00000000e+01,1.62095712e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.08063803e+01,1.08063803e+01,2.21990004e-01,3.59420001e+00,1.19852877e-02,6.43117860e-310,7.75395380e+05,2.60560608e+02,0.00000000e+00,4.69009094e+05,5.10652734e+05,2.47508497e+03,2.27324223e+03,0.00000000e+00,5.10652734e+05,1.00000000e+00
1,3,8.00000000e-01,1.00000000e+01,2.16127616e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.08063803e+01,1.08063803e+01,2.21990004e-01,3.59420001e+00,4.99621212e-03,6.43117860e-310,3.23232942e+05,1.08617841e+02,0.00000000e+00,1.95512113e+05,2.12871768e+05,1.03176910e+03,9.47628516e+02,0.00000000e+00,2.12871768e+05,1.00000000e+00
1,3,8.00000000e-01,1.00000000e+01,2.70159519e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.08063803e+01,1.08063803e+01,2.21990004e-01,3.59420001e+00,1.62203259e-03,6.43117860e-310,1.04938372e+05,3.52630499e+01,0.00000000e+00,6.34734899e+04,6.91093448e+04,3.34966386e+02,3.07649936e+02,0.00000000e+00,6.91093448e+04,1.00000000e+00
