case,istab,wind,x,y,z,t,dur,sig_x,sig_y,sig_z,zfunc,yfunc,xfunc,qyz,cpeak,concentration,dinf,dose,c_surf,c_surf_inf, C_dep, D_dep, delta_dep
18,5,0.8,1,0,0,3600,1800,1.27121,1.27121,0.0307413,25.9411,0.313828,6.43118e-310,1.46539e+08,3.06954852e+04,0.00000000e+00,5.52518734e+07,6.46053503e+07,3.54564871e+07,3.03231440e+07,0.00000000e+00,1.87049820e+09,2.89526825e+01
18,5,8.00000000e-01,1.00000000e+00,6.35606852e-01,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.27121365e+00,1.27121365e+00,3.07412948e-02,2.59410847e+01,2.76952137e-01,6.43117860e-310,1.29319899e+08,2.70886706e+04,0.00000000e+00,4.87596072e+07,5.70140215e+07,3.12902400e+07,2.67600806e+07,0.00000000e+00,1.65070886e+09,2.89526825e+01
18,5,8.00000000e-01,1.00000000e+00,1.27121370e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.27121365e+00,1.27121365e+00,3.07412948e-02,2.59410847e+01,1.90346234e-01,6.43117860e-310,8.88801803e+07,1.86177529e+04,0.00000000e+00,3.35119552e+07,3.91851257e+07,2.15054465e+07,1.83919165e+07,0.00000000e+00,1.13451451e+09,2.89526825e+01
18,5,8.00000000e-01,1.00000000e+00,1.90682056e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.27121365e+00,1.27121365e+00,3.07412948e-02,2.59410847e+01,1.01884979e-01,6.43117860e-310,4.75741237e+07,9.96536324e+03,0.00000000e+00,1.79376538e+07,2.09742826e+07,1.15110340e+07,9.84448175e+06,0.00000000e+00,6.07261746e+08,2.89526825e+01
18,5,8.00000000e-01,1.00000000e+00,2.54242741e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.27121365e+00,1.27121365e+00,3.07412948e-02,2.59410847e+01,4.24719857e-02,6.43117860e-310,1.98318489e+07,4.15418219e+03,0.00000000e+00,7.47752794e+06,8.74338338e+06,4.79851372e+06,4.10379128e+06,0.00000000e+00,2.53144403e+08,2.89526825e+01
18,5,8.00000000e-01,1.00000000e+00,3.17803426e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.27121365e+00,1.27121365e+00,3.07412948e-02,2.59410847e+01,1.37886350e-02,6.43117860e-310,6.43845866e+06,1.34866550e+03,0.00000000e+00,2.42759790e+06,2.83856099e+06,1.55784932e+06,1.33230596e+06,0.00000000e+00,8.21839551e+07,2.89526825e+01
18,5,8.00000000e-01,1.00000000e+00,3.81364111e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.27121365e+00,1.27121365e+00,3.07412948e-02,2.59410847e+01,3.48631040e-03,6.43117860e-310,1.62789612e+06,3.40995795e+02,0.00000000e+00,6.13792432e+05,7.17700099e+05,3.93885711e+05,3.36859460e+05,0.00000000e+00,2.07793431e+07,2.89526825e+01
18,5,8.00000000e-01,2.15443469e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.94446230e+00,2.94446230e+00,3.83105166e-02,2.08196819e+01,1.35489013e-01,6.43117860e-310,5.07750868e+07,1.04129781e+04,0.00000000e+00,1.87433606e+07,2.22312003e+07,6.51025574e+06,5.48886560e+06,0.00000000e+00,3.43446929e+08,1.54488702e+01
18,5,8.00000000e-01,2.15443469e+00,1.47223120e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.94446230e+00,2.94446230e+00,3.83105166e-02,2.08196819e+01,1.19568635e-01,6.43117860e-310,4.48088568e+07,9.18942093e+03,0.00000000e+00,1.65409577e+07,1.96189654e+07,5.74528052e+06,4.84390689e+06,0.00000000e+00,3.03090851e+08,1.54488702e+01
18,5,8.00000000e-01,2.15443469e+00,2.94446240e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.94446230e+00,2.94446230e+00,3.83105166e-02,2.08196819e+01,8.21782406e-02,6.43117860e-310,3.07966469e+07,6.31579048e+03,0.00000000e+00,1.13684229e+07,1.34839046e+07,3.94866971e+06,3.32916527e+06,0.00000000e+00,2.08311093e+08,1.54488702e+01
18,5,8.00000000e-01,2.15443469e+00,4.41669360e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.94446230e+00,2.94446230e+00,3.83105166e-02,2.08196819e+01,4.39868425e-02,6.43117860e-310,1.64842572e+07,3.38059904e+03,0.00000000e+00,6.08507826e+06,7.21741405e+06,2.11357059e+06,1.78197376e+06,0.00000000e+00,1.11500893e+08,1.54488702e+01
18,5,8.00000000e-01,2.15443469e+00,5.88892481e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.94446230e+00,2.94446230e+00,3.83105166e-02,2.08196819e+01,1.83364440e-02,6.43117860e-310,6.87166076e+06,1.40924334e+03,0.00000000e+00,2.53663802e+06,3.00866580e+06,8.81067304e+05,7.42837181e+05,0.00000000e+00,4.64804875e+07,1.54488702e+01
18,5,8.00000000e-01,2.15443469e+00,7.36115601e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.94446230e+00,2.94446230e+00,3.83105166e-02,2.08196819e+01,5.95297179e-03,6.43117860e-310,2.23090162e+06,4.57514328e+02,0.00000000e+00,8.23525790e+05,9.76770774e+05,2.86040674e+05,2.41163924e+05,0.00000000e+00,1.50900049e+07,1.54488702e+01
18,5,8.00000000e-01,2.15443469e+00,8.83338721e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.94446230e+00,2.94446230e+00,3.83105166e-02,2.08196819e+01,1.50514698e-03,6.43117860e-310,5.64060264e+05,1.15677738e+02,0.00000000e+00,2.08219928e+05,2.46966328e+05,7.23224085e+04,6.09757890e+04,0.00000000e+00,3.81535075e+06,1.54488702e+01
18,5,8.00000000e-01,4.64158883e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,6.36936188e+00,6.36936188e+00,5.05202562e-02,1.57902661e+01,6.26345778e-02,6.43117860e-310,1.78022997e+07,3.64661237e+03,0.00000000e+00,6.56390226e+06,7.79153052e+06,7.84065120e+05,6.60528352e+05,0.00000000e+00,4.13631613e+07,5.30873378e+00
18,5,8.00000000e-01,4.64158883e+00,3.18468136e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,6.36936188e+00,6.36936188e+00,5.05202562e-02,1.57902661e+01,5.52748192e-02,6.43117860e-310,1.57104738e+07,3.21812402e+03,0.00000000e+00,5.79262324e+06,6.87600134e+06,6.91935019e+05,5.82914207e+05,0.00000000e+00,3.65028606e+07,5.30873378e+00
18,5,8.00000000e-01,4.64158883e+00,6.36936272e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,6.36936188e+00,6.36936188e+00,5.05202562e-02,1.57902661e+01,3.79897872e-02,6.43117860e-310,1.07976393e+07,2.21178194e+03,0.00000000e+00,3.98120749e+06,4.72580158e+06,4.75559478e+05,4.00630649e+05,0.00000000e+00,2.50880225e+07,5.30873378e+00
18,5,8.00000000e-01,4.64158883e+00,9.55404409e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,6.36936188e+00,6.36936188e+00,5.05202562e-02,1.57902661e+01,2.03344629e-02,6.43117860e-310,5.77955844e+06,1.18388128e+03,0.00000000e+00,2.13098630e+06,2.52953870e+06,2.54548585e+05,2.14442082e+05,0.00000000e+00,1.34286476e+07,5.30873378e+00
18,5,8.00000000e-01,4.64158883e+00,1.27387254e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,6.36936188e+00,6.36936188e+00,5.05202562e-02,1.57902661e+01,8.47666428e-03,6.43117860e-310,2.40927812e+06,4.93515082e+02,0.00000000e+00,8.88327148e+05,1.05446849e+06,1.06111624e+05,8.93927489e+04,0.00000000e+00,5.59789248e+06,5.30873378e+00
18,5,8.00000000e-01,4.64158883e+00,1.59234068e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,6.36936188e+00,6.36936188e+00,5.05202562e-02,1.57902661e+01,2.75196964e-03,6.43117860e-310,7.82177992e+05,1.60220870e+02,0.00000000e+00,2.88397566e+05,3.42335755e+05,3.44493966e+04,2.90215731e+04,0.00000000e+00,1.81736939e+06,5.30873378e+00
18,5,8.00000000e-01,4.64158883e+00,1.91080882e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,6.36936188e+00,6.36936188e+00,5.05202562e-02,1.57902661e+01,6.95806312e-04,6.43117860e-310,1.97765402e+05,4.05101462e+01,0.00000000e+00,7.29182631e+04,8.65559617e+04,8.71016424e+03,7.33779668e+03,0.00000000e+00,4.59502558e+05,5.30873378e+00
18,5,8.00000000e-01,1.00000000e+01,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.28673306e+01,1.28673306e+01,7.04960525e-02,1.13170065e+01,3.10042779e-02,6.43117860e-310,6.31576105e+06,1.31826063e+03,0.00000000e+00,2.37286914e+06,2.78121039e+06,5.27196180e+04,4.49792490e+04,0.00000000e+00,2.78121039e+06,1.00000000e+00
18,5,8.00000000e-01,1.00000000e+01,6.43366548e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.28673306e+01,1.28673306e+01,7.04960525e-02,1.13170065e+01,2.73611792e-02,6.43117860e-310,5.57363956e+06,1.16336093e+03,0.00000000e+00,2.09404967e+06,2.45440956e+06,4.65248996e+04,3.96940479e+04,0.00000000e+00,2.45440956e+06,1.00000000e+00
18,5,8.00000000e-01,1.00000000e+01,1.28673310e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.28673306e+01,1.28673306e+01,7.04960525e-02,1.13170065e+01,1.88050451e-02,6.43117860e-310,3.83070271e+06,7.99565492e+02,0.00000000e+00,1.43921789e+06,1.68688937e+06,3.19760647e+04,2.72812935e+04,0.00000000e+00,1.68688937e+06,1.00000000e+00
18,5,8.00000000e-01,1.00000000e+01,1.93009965e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.28673306e+01,1.28673306e+01,7.04960525e-02,1.13170065e+01,1.00656153e-02,6.43117860e-310,2.05042741e+06,4.27976568e+02,0.00000000e+00,7.70357822e+05,9.02926817e+05,1.71155541e+04,1.46026242e+04,0.00000000e+00,9.02926817e+05,1.00000000e+00
18,5,8.00000000e-01,1.00000000e+01,2.57346619e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.28673306e+01,1.28673306e+01,7.04960525e-02,1.13170065e+01,4.19597273e-03,6.43117860e-310,8.54745310e+05,1.78407176e+02,0.00000000e+00,3.21132917e+05,3.76395896e+05,7.13482443e+03,6.08727940e+03,0.00000000e+00,3.76395896e+05,1.00000000e+00
18,5,8.00000000e-01,1.00000000e+01,3.21683274e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.28673306e+01,1.28673306e+01,7.04960525e-02,1.13170065e+01,1.36223290e-03,6.43117860e-310,2.77495174e+05,5.79203300e+01,0.00000000e+00,1.04256594e+05,1.22197856e+05,2.31633836e+03,1.97625028e+03,0.00000000e+00,1.22197856e+05,1.00000000e+00
18,5,8.00000000e-01,1.00000000e+01,3.86019929e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.28673306e+01,1.28673306e+01,7.04960525e-02,1.13170065e+01,3.44426415e-04,6.43117860e-310,7.01617676e+04,1.46445528e+01,0.00000000e+00,2.63601951e+04,3.08964566e+04,5.85662054e+02,4.99674321e+02,0.00000000e+00,3.08964566e+04,1.00000000e+00
18,5,8.00000000e-01,2.15443469e+01,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.23680763e+01,2.23680763e+01,1.24115661e-01,6.42834786e+00,1.78353420e-02,6.43117860e-310,2.06373209e+06,4.58755900e+02,0.00000000e+00,8.25760620e+05,9.28171882e+05,1.79837727e+03,1.59995057e+03,0.00000000e+00,9.48729475e+04,1.02214848e-01
18,5,8.00000000e-01,2.15443469e+01,1.11840409e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.23680763e+01,2.23680763e+01,1.24115661e-01,6.42834786e+00,1.57396332e-02,6.43117860e-310,1.82123707e+06,4.04850637e+02,0.00000000e+00,7.28731146e+05,8.19108762e+05,1.58706227e+03,1.41195133e+03,0.00000000e+00,8.37250773e+04,1.02214848e-01
18,5,8.00000000e-01,2.15443469e+01,2.23680817e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.23680763e+01,2.23680763e+01,1.24115661e-01,6.42834786e+00,1.08176792e-02,6.43117860e-310,1.25171649e+06,2.78249452e+02,0.00000000e+00,5.00849014e+05,5.62964570e+05,1.09077069e+03,9.70418841e+02,0.00000000e+00,5.75433377e+04,1.02214848e-01
