case,istab,wind,x,y,z,t,dur,sig_x,sig_y,sig_z,zfunc,yfunc,xfunc,qyz,cpeak,concentration,dinf,dose,c_surf,c_surf_inf, C_dep, D_dep, delta_dep
0,0,0.8,1,0,0,3600,1800,1.59538,1.59538,0.136905,5.82787,0.250061,6.43118e-310,2.62318e+07,9.91259038e+03,0.00000000e+00,1.78426627e+07,1.95138558e+07,6.58843369e+05,6.02419129e+05,0.00000000e+00,2.84098824e+07,1.45588257e+00
0,0,8.00000000e-01,1.00000000e+00,7.97691162e-01,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.59538233e+00,1.59538233e+00,1.36904702e-01,5.82787330e+00,2.20677721e-01,6.43117860e-310,2.31494723e+07,8.74783031e+03,0.00000000e+00,1.57460946e+07,1.72209173e+07,5.81427233e+05,5.31633015e+05,0.00000000e+00,2.50716332e+07,1.45588257e+00
0,0,8.00000000e-01,1.00000000e+00,1.59538232e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.59538233e+00,1.59538233e+00,1.36904702e-01,5.82787330e+00,1.51669431e-01,6.43117860e-310,1.59103841e+07,6.01228998e+03,0.00000000e+00,1.08221220e+07,1.18357518e+07,3.99608703e+05,3.65385672e+05,0.00000000e+00,1.72314647e+07,1.45588257e+00
0,0,8.00000000e-01,1.00000000e+00,2.39307349e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.59538233e+00,1.59538233e+00,1.36904702e-01,5.82787330e+00,8.11827966e-02,6.43117860e-310,8.51621494e+06,3.21814692e+03,0.00000000e+00,5.79266446e+06,6.33522143e+06,2.13895125e+05,1.95576857e+05,0.00000000e+00,9.22333842e+06,1.45588257e+00
0,0,8.00000000e-01,1.00000000e+00,3.19076465e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.59538233e+00,1.59538233e+00,1.36904702e-01,5.82787330e+00,3.38420245e-02,6.43117860e-310,3.55008656e+06,1.34152323e+03,0.00000000e+00,2.41474181e+06,2.64091320e+06,8.91647540e+04,8.15285634e+04,0.00000000e+00,3.84485948e+06,1.45588257e+00
0,0,8.00000000e-01,1.00000000e+00,3.98845581e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.59538233e+00,1.59538233e+00,1.36904702e-01,5.82787330e+00,1.09868968e-02,6.43117860e-310,1.15254436e+06,4.35528826e+02,0.00000000e+00,7.83951886e+05,8.57378986e+05,2.89475574e+04,2.64684493e+04,0.00000000e+00,1.24824312e+06,1.45588257e+00
0,0,8.00000000e-01,1.00000000e+00,4.78614697e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.59538233e+00,1.59538233e+00,1.36904702e-01,5.82787330e+00,2.77792254e-03,6.43117860e-310,2.91408850e+05,1.10118932e+02,0.00000000e+00,1.98214078e+05,2.16779356e+05,7.31908871e+03,6.69227202e+03,0.00000000e+00,3.15605285e+05,1.45588257e+00
0,0,8.00000000e-01,2.15443469e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.22692895e+00,2.22692895e+00,2.94203073e-01,2.71200413e+00,1.79144598e-01,6.43117860e-310,8.74513601e+06,3.74880029e+03,0.00000000e+00,6.74784052e+06,7.09771285e+06,2.10463476e+05,2.00088959e+05,0.00000000e+00,9.07536282e+06,1.27863200e+00
0,0,8.00000000e-01,2.15443469e+00,1.11346447e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.22692895e+00,2.22692895e+00,2.94203073e-01,2.71200413e+00,1.58094553e-01,6.43117860e-310,7.71755544e+06,3.30830465e+03,0.00000000e+00,5.95494836e+06,6.26370961e+06,1.85733366e+05,1.76577886e+05,0.00000000e+00,8.00897957e+06,1.27863200e+00
0,0,8.00000000e-01,2.15443469e+00,2.22692894e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.22692895e+00,2.22692895e+00,2.94203073e-01,2.71200413e+00,1.08656691e-01,6.43117860e-310,5.30419312e+06,2.27376231e+03,0.00000000e+00,4.09277216e+06,4.30498046e+06,1.27652551e+05,1.21360088e+05,0.00000000e+00,5.50448580e+06,1.27863200e+00
