istab,wind,slope_sig_x,intercept_sig_x,slope_sig_y,intercept_sig_y,slope_sig_z,intercept_sig_z
0,0.8,0.987827681043965,-3.388755206635939,1.0831123540054728,-1.9718926496756044,1.1642579736252874,-2.6801572002461524
0,2.3,0.987827681043965,-3.388755206635939,1.0399223965574271,-1.9555121462401086,1.1005897370257889,-2.573084672237802
1,0.8,0.987827681043965,-3.388755206635939,1.0655094968306833,-1.953634447364804,1.2045777043351618,-3.387527460517923
1,2.3,0.987827681043965,-3.388755206635939,1.0134583127559462,-1.931994655880751,1.131569589139871,-3.1824516917674837
1,4.1,0.987827681043965,-3.388755206635939,0.9909978679544467,-1.8874527949797253,1.1138600539160937,-3.0930975030174697
2,0.8,0.987827681043965,-3.388755206635939,1.0328217980998673,-1.9220757461384848,1.23770563687373,-4.153045138312267
2,2.3,0.987827681043965,-3.388755206635939,0.9686774354107287,-1.8831165960650518,1.1595918164834866,-3.9212886385902026
2,4.1,0.987827681043965,-3.388755206635939,0.9515483797086521,-1.8886018552507569,1.123479831020627,-3.6701847640348215
2,6.7,0.987827681043965,-3.388755206635939,0.9415448624660523,-1.8602746300251143,1.1060335806971082,-3.568707890869692
2,9.6,0.987827681043965,-3.388755206635939,0.9470914707712829,-1.9323975307615644,1.1000257199583323,-3.5210619653930957
2,12.0,0.987827681043965,-3.388755206635939,0.9382956523235944,-1.8658237406795948,1.102313738819229,-3.5430356604973423
3,0.8,0.987827681043965,-3.388755206635939,1.0037450553156897,-1.8941466875962236,1.1833575598855566,-4.5628772175190075
3,2.3,0.987827681043965,-3.388755206635939,0.9256235058110766,-2.100300221511792,1.12478751585684,-4.444555656552224
3,4.1,0.987827681043965,-3.388755206635939,0.8810911243099503,-2.0464543371690502,1.0823220451208326,-4.128628593852204
3,6.7,0.987827681043965,-3.388755206635939,0.8752286190806143,-2.053722055107871,1.0448140298713162,-3.8001957767115924
3,9.6,0.987827681043965,-3.388755206635939,0.8717257513144477,-2.035529836569458,1.0388040971267352,-3.743216561995824
3,12.0,0.987827681043965,-3.388755206635939,0.8757658738570899,-2.0810886304125793,1.0305834036882215,-3.6789759247701777
4,2.3,0.987827681043965,-3.388755206635939,0.8456917686298364,-1.593919885740731,0.9058103671114338,-4.609129468509171
4,4.1,0.987827681043965,-3.388755206635939,0.793161812596474,-1.8713903496417372,0.8909773419610012,-4.36024455384932
4,6.7,0.987827681043965,-3.388755206635939,0.8765645815123562,1.035393934037959,0.6451375028248536,-2.2374255400859235
5,0.8,0.987827681043965,-3.388755206635939,0.9473049023023529,-1.5734567757072426,0.9233764561994432,-4.827610409428232
5,2.3,0.987827681043965,-3.388755206635939,0.8532326302963924,-1.5469238876076083,0.9080062963854129,-4.927094336611388
5,4.1,0.987827681043965,-3.388755206635939,0.8122434791117624,-1.7647774042625808,0.9019956882812941,-4.780876329699776
6,0.8,0.987827681043965,-3.388755206635939,0.9863440541223761,-1.6561101143222041,0.9299270307393622,-5.025520974306643
6,2.3,0.987827681043965,-3.388755206635939,0.8840031226306798,-1.5329949099431213,0.9047767032240182,-5.392729765910207
