,case,type,hp_done,fp_done,flag,agent_hp,agent_fp,Q_kg,dur,release_rate,sig_x0,sig_y0,sig_z0,v_dep,agent_rho,agent_R,decay_rate,time,U,stability,iwind,istab,zi,fn_hpac_conc,fn_hpac_dose,fn_hpac_csurf,fn_fp_xyzt,fn_fp_output,Q_mg
10,11,dust,,,3,myDust3,,18,1800,0.01,1,1,1,0.001772915,2000,3.50E-05,5.55E-05,86400,0.8,F,1,5,5500,dust_hpac_conc_011.tab,dust_hpac_dose_011.tab,dust_hpac_csurf_011.tab,xyzt_15.csv,dust_fp_out_011.csv,18000000
11,12,dust,,,1,myDust4,,18,1800,0.01,1,1,1,0.14996521,2000,7.00E-06,0.00E+00,86400,0.8,A,1,0,5500,dust_hpac_conc_012.tab,dust_hpac_dose_012.tab,dust_hpac_csurf_012.tab,xyzt_10.csv,dust_fp_out_012.csv,18000000
12,13,dust,,,2,myDust4,,18,1800,0.01,1,1,1,0.112484833,2000,7.00E-06,0.00E+00,86400,0.8,D,1,3,5500,dust_hpac_conc_013.tab,dust_hpac_dose_013.tab,dust_hpac_csurf_013.tab,xyzt_13.csv,dust_fp_out_013.csv,18000000
13,14,dust,,,2,myDust4,,18,1800,0.01,1,1,1,0.123948523,2000,7.00E-06,0.00E+00,86400,2.3,D,2,3,5500,dust_hpac_conc_014.tab,dust_hpac_dose_014.tab,dust_hpac_csurf_014.tab,xyzt_23.csv,dust_fp_out_014.csv,18000000
14,15,dust,,,2,myDust4,,18,1800,0.01,1,1,1,0.144252762,2000,7.00E-06,0.00E+00,86400,4.1,D,3,3,5500,dust_hpac_conc_015.tab,dust_hpac_dose_015.tab,dust_hpac_csurf_015.tab,xyzt_33.csv,dust_fp_out_015.csv,18000000
15,16,dust,,,3,myDust4,,18,1800,0.01,1,1,1,0.098990769,2000,7.00E-06,0.00E+00,86400,0.8,F,1,5,5500,dust_hpac_conc_016.tab,dust_hpac_dose_016.tab,dust_hpac_csurf_016.tab,xyzt_15.csv,dust_fp_out_016.csv,18000000
16,17,dust,,,1,myDustH,,18,1800,0.01,1,1,1,0.072067635,10000,7.00E-06,0.00E+00,86400,0.8,A,1,0,5500,dust_hpac_conc_017.tab,dust_hpac_dose_017.tab,dust_hpac_csurf_017.tab,xyzt_10.csv,dust_fp_out_017.csv,18000000
17,18,dust,,,2,myDustH,,18,1800,0.01,1,1,1,0.031118738,10000,7.00E-06,0.00E+00,86400,0.8,D,1,3,5500,dust_hpac_conc_018.tab,dust_hpac_dose_018.tab,dust_hpac_csurf_018.tab,xyzt_13.csv,dust_fp_out_018.csv,18000000
18,19,dust,,,3,myDustH,,18,1800,0.01,1,1,1,0.018955638,10000,7.00E-06,0.00E+00,86400,0.8,F,1,5,5500,dust_hpac_conc_019.tab,dust_hpac_dose_019.tab,dust_hpac_csurf_019.tab,xyzt_15.csv,dust_fp_out_019.csv,18000000
19,20,dust,,,1,myDustH2,,18,1800,0.01,1,1,1,0.075637587,10000,7.00E-06,0.00E+00,86400,0.8,A,1,0,5500,dust_hpac_conc_020.tab,dust_hpac_dose_020.tab,dust_hpac_csurf_020.tab,xyzt_10.csv,dust_fp_out_020.csv,18000000
20,21,dust,,,2,myDustH2,,18,1800,0.01,1,1,1,0.03505169,10000,7.00E-06,0.00E+00,86400,0.8,D,1,3,5500,dust_hpac_conc_021.tab,dust_hpac_dose_021.tab,dust_hpac_csurf_021.tab,xyzt_13.csv,dust_fp_out_021.csv,18000000
21,22,dust,,,2,myDustH2,,18,1800,0.01,1,1,1,0.049245217,10000,7.00E-06,0.00E+00,86400,2.3,D,2,3,5500,dust_hpac_conc_022.tab,dust_hpac_dose_022.tab,dust_hpac_csurf_022.tab,xyzt_23.csv,dust_fp_out_022.csv,18000000
22,23,dust,,,2,myDustH2,,18,1800,0.01,1,1,1,0.071095369,10000,7.00E-06,0.00E+00,86400,4.1,D,3,3,5500,dust_hpac_conc_023.tab,dust_hpac_dose_023.tab,dust_hpac_csurf_023.tab,xyzt_33.csv,dust_fp_out_023.csv,18000000
23,24,dust,,,3,myDustH2,,18,1800,0.01,1,1,1,0.022027261,10000,7.00E-06,0.00E+00,86400,0.8,F,1,5,5500,dust_hpac_conc_024.tab,dust_hpac_dose_024.tab,dust_hpac_csurf_024.tab,xyzt_15.csv,dust_fp_out_024.csv,18000000
24,25,dust,,,1,myDustH3,,18,1800,0.01,1,1,1,0,10000,3.50E-05,5.55E-05,86400,0.8,A,1,0,5500,dust_hpac_conc_025.tab,dust_hpac_dose_025.tab,dust_hpac_csurf_025.tab,xyzt_10.csv,dust_fp_out_025.csv,18000000
25,26,dust,,,2,myDustH3,,18,1800,0.01,1,1,1,0,10000,3.50E-05,5.55E-05,86400,0.8,D,1,3,5500,dust_hpac_conc_026.tab,dust_hpac_dose_026.tab,dust_hpac_csurf_026.tab,xyzt_13.csv,dust_fp_out_026.csv,18000000
26,27,dust,,,3,myDustH3,,18,1800,0.01,1,1,1,0,10000,3.50E-05,5.55E-05,86400,0.8,F,1,5,5500,dust_hpac_conc_027.tab,dust_hpac_dose_027.tab,dust_hpac_csurf_027.tab,xyzt_15.csv,dust_fp_out_027.csv,18000000
27,28,dust,,,1,myDustH4,,18,1800,0.01,1,1,1,0,10000,7.00E-06,0.00E+00,86400,0.8,A,1,0,5500,dust_hpac_conc_028.tab,dust_hpac_dose_028.tab,dust_hpac_csurf_028.tab,xyzt_10.csv,dust_fp_out_028.csv,18000000
28,29,dust,,,2,myDustH4,,18,1800,0.01,1,1,1,0,10000,7.00E-06,0.00E+00,86400,0.8,D,1,3,5500,dust_hpac_conc_029.tab,dust_hpac_dose_029.tab,dust_hpac_csurf_029.tab,xyzt_13.csv,dust_fp_out_029.csv,18000000
29,30,dust,,,2,myDustH4,,18,1800,0.01,1,1,1,0,10000,7.00E-06,0.00E+00,86400,2.3,D,2,3,5500,dust_hpac_conc_030.tab,dust_hpac_dose_030.tab,dust_hpac_csurf_030.tab,xyzt_23.csv,dust_fp_out_030.csv,18000000
30,31,dust,,,2,myDustH4,,18,1800,0.01,1,1,1,0,10000,7.00E-06,0.00E+00,86400,4.1,D,3,3,5500,dust_hpac_conc_031.tab,dust_hpac_dose_031.tab,dust_hpac_csurf_031.tab,xyzt_33.csv,dust_fp_out_031.csv,18000000
31,32,dust,,,3,myDustH4,,18,1800,0.01,1,1,1,0,10000,7.00E-06,0.00E+00,86400,0.8,F,1,5,5500,dust_hpac_conc_032.tab,dust_hpac_dose_032.tab,dust_hpac_csurf_032.tab,xyzt_15.csv,dust_fp_out_032.csv,18000000
